Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label
17,"Tue, 4 Jun 2019 04:00:17 -0500 (CDT)",ieee,org,0,0,multipart/alternative,8,42,0,1,30,38690,0
18,"Sat, 07 Nov 2015 11:07:06 +0000",usebackpack,com,0,0,multipart/alternative,4,19,1,0,37,26965,0
19,"Mon, 16 Oct 2017 13:11:26 +0530",iiitd,ac.in,0,0,multipart/alternative,0,35,1,0,106,42937,2
20,"Thu, 29 Jun 2017 23:37:49 -0700",youtube,com,0,0,multipart/alternative,26,115,1,0,67,78421,1
21,"Mon, 12 Sep 2016 14:09:38 +0530",iiitd,ac.in,0,0,multipart/alternative,0,7,1,1,50,10044,2
22,"Wed, 31 Aug 2016 10:38:35 +0530",iiitd,ac.in,3,0,multipart/related,0,0,0,0,69,4254160,2
23,"Wed, 7 Mar 2018 01:02:12 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,84,1,1,26,89712,1
24,"Fri, 30 Mar 2018 18:18:04 +0000",topcoder,com,0,0,multipart/alternative,12,51,0,1,51,72438,0
25,"Wed, 12 Dec 2018 16:54:21 +0000",slack,com,0,0,multipart/alternative,1,12,0,0,39,11601,0
26,"Thu, 18 Feb 2016 04:21:36 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,28,0,0,45,21103,1
27,"Mon, 11 Dec 2017 12:37:33 +0530",iiitd,ac.in,0,0,multipart/mixed,4,24,1,1,78,34048351,2
28,"Fri, 3 Nov 2017 17:43:34 +0530",iiitd,ac.in,0,0,multipart/alternative,0,9,1,0,48,27804,2
29,"Tue, 18 Oct 2016 05:15:00 -0700",godaddy,com,0,0,text/html,2,39,0,0,29,41441,0
30,"Wed, 12 Aug 2015 03:02:24 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,39,27855,0
31,"Mon, 09 Jul 2018 09:20:22 -0600",send,grammarly.com,0,0,multipart/alternative,33,118,0,0,44,108661,3
32,"Sun, 10 Jul 2016 10:42:13 +0000",iiitd,ac.in,0,0,multipart/mixed,0,2,0,0,112,1868,0
33,"Thu, 6 Jun 2019 06:02:10 +0000",amazon,com,0,0,multipart/alternative,3,47,1,1,103,38446,0
34,"Fri, 25 Mar 2016 08:38:46 +0000",bookmyshow,com,0,0,multipart/alternative,3,9,1,0,12,25787,0
35,"Mon, 12 Mar 2018 15:02:33 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,11,83,0,1,58,70863,0
36,"Tue, 15 May 2018 07:26:59 -0600",send,grammarly.com,0,0,multipart/alternative,35,120,0,0,27,112320,3
37,"Mon, 1 Feb 2016 10:52:41 +0530",iiitd,ac.in,0,0,multipart/alternative,2,6,1,0,80,8081,2
38,"Mon, 14 Nov 2016 22:14:35 -0800 (PST)",classroom,google.com,0,0,multipart/alternative,6,14,0,0,105,6318,0
39,"Sat, 21 Jul 2018 02:15:43 +0000",amazon,in,0,0,multipart/alternative,3,37,0,1,82,19627,3
40,"Thu, 11 May 2017 17:49:47 +0000",bookmyshow,email,0,0,multipart/mixed,0,0,0,0,12,276063,0
41,"Thu, 28 Nov 2019 00:39:00 +0000 (UTC)",flipkartletters,com,0,0,multipart/alternative,21,64,0,0,76,44044,3
42,"Mon, 19 Dec 2016 16:34:40 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,39,1697,2
43,"Tue, 25 Aug 2015 14:49:42 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27148,0
44,"Thu, 29 Mar 2018 17:32:12 +0000 (UTC)",quora,com,0,0,multipart/alternative,15,104,0,1,65,100175,1
45,"Wed, 12 Jul 2017 10:09:45 +0000",topcoder,com,0,0,multipart/alternative,2,36,1,0,68,41371,0
46,"Fri, 07 Apr 2017 15:28:00 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
47,"Mon, 16 Jul 2018 06:43:15 +0000",amazon,in,0,0,multipart/alternative,29,256,0,0,31,116494,3
48,"Tue, 15 Sep 2015 12:17:16 +0000",twitter,com,0,0,multipart/alternative,16,140,0,0,70,84727,1
49,"Fri, 17 Nov 2017 10:23:17 +0000 (UTC)",udacity,com,0,0,multipart/alternative,10,36,1,0,74,48813,3
50,"Thu, 14 Sep 2017 06:33:18 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,113,4,3
51,"Sun, 18 Mar 2018 08:27:52 +0000 (UTC)",gmail,com,0,0,multipart/alternative,0,9,0,0,116,11608,0
52,"Wed, 7 Sep 2016 18:30:18 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,17,71,0,1,91,78901,1
53,"Tue, 05 Feb 2019 04:16:28 -0800",google,com,0,0,text/html,6,28,0,0,36,8863,0
54,"Wed, 16 Sep 2015 21:02:29 +0000",usebackpack,com,0,0,multipart/alternative,4,17,0,0,34,31414,0
55,"Wed, 25 Oct 2017 22:00:00 -0700",mentor,com,0,0,multipart/alternative,4,17,0,0,88,7653,3
56,"Wed, 29 Nov 2017 13:32:09 +0000",,,0,0,text/plain,0,1,0,0,51,465,0
57,"Fri, 07 Jul 2017 08:36:21 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,41,1,0,57,58294,3
58,"Thu, 13 Aug 2015 03:03:14 -0700 (PDT)",plus,google.com,0,0,multipart/alternative,14,43,0,0,35,15033,1
59,"Tue, 28 Mar 2017 12:11:19 -0700",mentor,com,0,0,multipart/alternative,0,10,0,0,40,3545,3
60,"Fri, 18 Aug 2017 18:48:40 +0000",topcoder,com,0,0,multipart/alternative,14,83,1,1,156,116910,3
61,"Sat, 17 Jun 2017 10:10:45 +0530",iiitd,ac.in,0,0,multipart/alternative,0,7,1,0,10,3990,2
62,"Sat, 28 Oct 2017 10:36:00 +0200",reply,ebay.in,0,0,multipart/alternative,34,128,0,0,57,79385,3
63,"Tue, 23 Aug 2016 19:14:38 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,24,313,2
64,"Thu, 24 May 2018 21:21:18 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,3,17,1,0,43,36122,0
65,"Mon, 03 Dec 2018 17:40:06 +0000",quora,com,0,0,multipart/alternative,7,89,1,0,68,90366,0
66,"Mon, 20 Jul 2015 00:11:48 +0000",coursera,org,0,0,multipart/alternative,4,39,1,1,44,29312,0
67,"Fri, 29 Apr 2016 12:56:08 +0530",iiitd,ac.in,2,0,multipart/related,0,0,0,0,21,11228,2
68,"Sun, 22 Oct 2017 14:07:02 +0530",iiitd,ac.in,1,0,multipart/mixed,0,48,0,0,19,2784903,2
69,"Wed, 11 Jan 2017 02:03:21 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,1,0,39,2670,2
70,"Wed, 18 May 2016 01:01:24 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,41,0,1,113,41323,1
71,"Thu, 19 Jul 2018 01:02:34 +0000 (UTC)",flipkartletters,com,0,0,text/html,39,91,1,0,88,65307,3
72,"Tue, 31 Jul 2018 01:55:19 +0000 (UTC)",codalab,org,0,0,multipart/alternative,1,9,0,0,50,5501,0
73,"Thu, 7 Jul 2016 14:07:01 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,35,2433,2
74,"Mon, 17 Aug 2015 06:35:28 +0000",usebackpack,com,0,0,multipart/alternative,4,17,0,0,35,30288,0
75,"Tue, 11 Jun 2019 01:52:50 -0700",google,com,0,0,text/html,20,84,0,0,36,24461,0
76,"Sat, 23 Nov 2019 21:33:35 +0530",mail,kotak.in,0,0,multipart/alternative,0,10,1,0,42,3650,3
77,"Mon, 06 Feb 2017 07:32:55 -0600",news,foodpanda.in,0,0,multipart/alternative,17,56,0,0,76,58243,3
78,"Tue, 27 Dec 2016 12:28:20 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,39,3372,2
79,"Fri, 1 Jul 2016 18:04:43 +0530",iiitd,ac.in,4,0,multipart/alternative,0,9,1,0,49,7191,2
80,"Fri, 4 Aug 2017 15:44:55 -0400 (EDT)",edx,org,0,0,multipart/alternative,11,35,0,0,99,32897,3
81,"Mon, 13 May 2019 13:00:13 +0000 (GMT)",google,com,0,0,text/plain,0,0,1,0,91,1146,0
82,"Tue, 06 Oct 2015 14:14:06 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,38,27097,0
83,"Thu, 8 Feb 2018 17:47:20 +0530",bigbasket,in,0,0,text/html,10,26,0,0,37,14881,3
84,"Thu, 28 Apr 2016 14:06:21 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,1,31,9011,2
85,11 Dec 2018 21:21:13 +0100,,,0,0,text/html,0,1,1,0,44,1434,0
86,"Mon, 5 Jun 2017 09:34:26 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,1,29,23182,1
87,19 Jun 2018 07:46:16 +0530,,,0,0,text/plain,0,0,0,0,57,674,0
88,"Tue, 27 Jun 2017 23:02:13 +0000 (UTC)",,,0,0,text/html,5,26,0,1,19,6975,0
89,"Tue, 27 Jun 2017 17:37:37 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,52,1937,2
90,"Wed, 8 Jun 2016 09:51:44 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,45,20258,1
91,"Thu, 13 Jun 2019 12:04:20 +0000",signalprocessingsociety,org,0,0,multipart/alternative,10,60,0,0,133,86802,3
92,"Sat, 27 Jan 2018 22:36:21 -0800",mail,instagram.com,0,0,text/html,4,29,0,0,47,18514,1
93,"Sat, 6 May 2017 23:52:13 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,0,39,7894,2
94,"Wed, 16 Nov 2016 11:53:29 +0530",iiitd,ac.in,0,0,multipart/alternative,1,3,1,0,37,3145,2
95,"Thu, 20 Oct 2016 07:20:18 -0700 (PDT)",quora,com,0,0,multipart/alternative,8,95,0,0,114,82866,1
96,"Mon, 30 Jul 2018 14:54:12 +0000",crowdai,org,0,0,multipart/alternative,4,25,0,0,99,45326,0
97,"Wed, 8 Mar 2017 19:02:02 -0800",e,linkedin.com,0,0,multipart/mixed,0,0,0,0,26,4,1
98,11 Feb 2018 19:53:20 +0530,,,0,0,text/plain,0,0,0,0,57,529,0
99,"Mon, 10 Dec 2018 13:54:39 +0000",centralesupelec,fr,0,0,multipart/mixed,0,12,1,0,117,4447447,2
100,"Thu, 29 Jun 2017 17:23:41 -0600",e-mail,microsoft.com,0,0,multipart/alternative,21,163,1,1,42,147500,0
101,"Tue, 24 May 2016 01:55:44 +0000",change,org,0,0,multipart/alternative,4,41,1,1,16,59172,0
102,"Sun, 28 Jan 2018 00:23:06 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,34,4,3
103,"Thu, 22 Jun 2017 14:16:26 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,42,4,3
104,"Tue, 18 Dec 2018 15:31:33 -0600",send,grammarly.com,0,0,multipart/alternative,38,146,0,0,48,124047,3
105,"Mon, 17 Dec 2018 15:25:26 +0100",centralesupelec,fr,0,0,text/html,5,21,1,0,104,32684,2
106,"Fri, 24 Jul 2015 00:19:13 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,28170,0
107,"Tue,  9 May 2017 00:16:43 -0700 (PDT)",slack,com,0,0,multipart/alternative,3,19,0,0,38,17550,0
108,"Mon, 16 Oct 2017 23:45:05 +0000",InsideApple,Apple.com,0,0,multipart/alternative,23,62,0,0,63,43508,3
109,"Sun, 04 Dec 2016 00:09:46 +0000 (UTC)",,,1,0,multipart/alternative,0,3,0,0,27,6191,0
110,"Mon, 13 Mar 2017 00:07:33 -0700 (PDT)",,,0,0,,0,3,1,0,162,4137,0
111,"Tue, 3 Apr 2018 10:44:04 +0200 (CEST)",cleartrip,com,0,0,multipart/alternative,14,46,1,0,36,38695,3
112,"Fri, 07 Apr 2017 10:10:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
113,"Fri, 8 Dec 2017 17:34:01 +0000",academia-mail,com,0,0,multipart/alternative,4,19,0,0,33,36541,1
114,"Wed, 20 Dec 2017 17:18:40 +0530",clubvistara,com,0,0,multipart/alternative,11,41,1,0,67,20065,3
115,29 Dec 2017 02:41:39 +0530,,,0,0,text/plain,0,0,0,0,57,492,0
116,"Sat, 30 Dec 2017 09:32:04 +0100",reply,ebay.in,0,0,multipart/alternative,33,134,0,0,53,83268,3
117,"Thu, 03 Aug 2017 05:41:36 +0000 (UTC)",flipkartletters,com,0,0,text/html,17,47,0,0,55,32589,3
118,"Wed, 28 Sep 2016 09:46:13 +0200 (CEST)",,,0,0,multipart/mixed,0,0,1,0,26,6983600,0
119,"Fri, 07 Apr 2017 10:16:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
120,"Fri, 15 Mar 2019 10:18:59 +0000",centralesupelec,fr,0,0,multipart/related,0,5,0,0,115,16582,2
121,"Mon, 22 Oct 2018 19:28:15 -0700",github,com,0,0,text/plain,0,1,0,0,65,377,0
122,"Tue, 23 Jan 2018 16:51:07 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,5,27,0,0,43,42522,3
123,"Tue, 12 Jun 2018 08:54:48 -0700",github,com,1,0,multipart/alternative,3,18,0,0,73,3979,2
124,"Mon, 09 May 2016 15:35:26 +0000",hackerrankmail,com,0,0,multipart/alternative,4,27,0,0,37,29951,0
125,"Mon, 11 May 2015 02:46:33 +0000 (UTC)",accounts,google.com,0,0,multipart/related,0,0,0,0,28,19868,0
126,"Thu, 4 May 2017 12:13:07 +0530",iiitd,ac.in,1,0,multipart/alternative,0,13,1,0,17,7081,2
127,"Sat, 30 Apr 2016 12:18:37 +0000",usebackpack,com,0,0,text/html,4,14,0,0,37,24828,0
128,"Fri, 20 Oct 2017 02:19:59 +0000",mail,goodreads.com,0,0,multipart/alternative,50,241,1,0,38,110200,1
129,"Sat, 16 Jul 2016 18:06:55 +0530",iiitd,ac.in,1,0,multipart/alternative,0,8,1,0,24,11795,2
130,"Sun, 28 Feb 2016 16:46:46 +0000",youtube,com,0,0,multipart/alternative,12,51,0,0,81,44516,1
131,"Mon, 11 Jul 2016 21:29:25 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,16,68,0,1,84,71108,1
132,"Sat, 15 Aug 2015 15:20:07 +0000 (UTC)",quora,com,0,0,multipart/alternative,2,121,1,1,39,95273,1
133,"Tue, 2 Aug 2016 16:32:36 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,0,0,6,366,2
134,"Fri, 07 Apr 2017 10:10:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
135,"Tue, 07 May 2019 08:41:20 -0700",google,com,0,0,text/html,8,36,0,0,32,11034,0
136,"Mon, 24 Aug 2015 11:19:56 +0000 (UTC)",piazza,com,0,0,multipart/alternative,0,8,0,1,30,2418,0
137,05 Feb 2018 19:08:57 +0530,,,0,0,text/plain,0,0,0,0,57,524,0
138,"Thu, 22 Mar 2018 09:30:44 +0000",m,mail.coursera.org,0,0,multipart/alternative,31,119,1,0,28,87449,3
139,"Sat, 01 Jun 2019 04:30:57 -0700",google,com,0,0,text/html,20,84,0,0,40,25332,0
140,"Wed, 25 Jul 2018 07:30:30 +0000",crowdai,org,0,0,multipart/alternative,5,42,1,0,146,59000,0
141,"Tue, 10 May 2016 09:28:02 +0000",twitter,com,0,0,multipart/alternative,20,129,0,0,87,72403,1
142,"Thu, 26 Oct 2017 20:10:00 -0700",youtube,com,0,0,multipart/alternative,38,115,0,0,79,78727,1
143,"Fri, 15 Sep 2017 10:41:48 +0000",twitter,com,0,0,multipart/alternative,9,54,0,1,70,35879,1
144,"Mon, 11 Mar 2019 07:46:06 +0000",amazon,com,0,0,multipart/alternative,1,45,0,1,47,30447,0
145,"Fri, 30 Sep 2016 10:52:59 +0530",iiitd,ac.in,2,0,multipart/mixed,2,0,0,0,37,670871,2
146,"Sun, 31 Mar 2019 17:42:48 +0200",thefork,com,0,0,multipart/alternative,7,17,1,0,99,21777,0
147,"Fri, 25 Oct 2019 00:13:17 +0000",amazon,in,0,0,multipart/alternative,30,253,0,0,15,116395,3
148,"Tue, 8 May 2018 00:05:04 +0000",amazon,in,0,0,multipart/alternative,20,177,0,0,103,88677,3
149,"Sun, 23 Jul 2017 14:02:57 -0700",mail,instagram.com,0,0,text/html,21,89,0,1,69,54396,1
150,"Thu, 13 Sep 2018 08:17:39 +0000",redwolf,in,0,0,multipart/alternative,5,22,0,0,48,5119,3
151,"Sat, 22 Oct 2016 14:50:18 +0000",youtube,com,0,0,multipart/alternative,20,83,1,0,75,75546,1
152,"Wed, 2 Nov 2016 14:10:33 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,111,8687,2
153,"Thu, 27 Sep 2018 00:09:23 +0000",amazon,in,0,0,multipart/alternative,30,250,1,0,11,113728,3
154,"Tue, 2 Jun 2015 09:55:44 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,7,21,1,0,45,30112,1
155,"Sun, 30 Aug 2015 07:39:28 -0700",facebookmail,com,0,0,multipart/alternative,4,16,0,0,33,11400,1
156,"Thu, 30 May 2019 05:05:03 -0700",google,com,0,0,text/html,2,12,0,0,37,4438,0
157,"Fri, 23 Feb 2018 12:26:07 +0000",academia-mail,com,0,0,multipart/alternative,1,13,1,0,154,38961,0
158,"Sun, 2 Jul 2017 17:31:25 +0000",olacabs,com,0,0,multipart/mixed,1,35,0,0,34,80457,0
159,"Thu, 15 Mar 2018 09:40:21 +0000",,,0,0,multipart/alternative,9,61,0,0,61,24734,0
160,"Thu, 1 Feb 2018 03:05:10 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,49,0,0,57,42559,0
161,"Mon, 28 Nov 2016 12:45:03 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,1,36,2383,2
162,"Fri, 29 Jan 2016 11:07:44 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27440,0
163,"Thu, 26 Oct 2017 19:18:10 +0000",amazon,in,0,0,multipart/alternative,2,74,1,0,55,29109,0
164,"Tue, 19 Jul 2016 13:28:02 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,0,0,30,4682,2
165,"Wed, 9 Nov 2016 18:05:58 +0530",iiitd,ac.in,0,0,multipart/alternative,0,6,1,0,76,9713,2
166,"Fri, 02 Jun 2017 06:30:00 -0700",mentor,com,0,0,multipart/alternative,0,11,1,0,42,3751,3
167,"Thu, 30 Jun 2016 11:02:48 +0530",iiitd,ac.in,2,0,multipart/alternative,0,2,1,0,33,1958,2
168,"Thu, 28 Dec 2017 10:38:22 +0000",redwolf,in,0,0,multipart/alternative,8,27,0,0,51,6144,3
169,"Sat, 23 Dec 2017 17:08:49 +0000",amazon,in,0,0,multipart/alternative,2,74,1,0,55,28231,0
170,"Tue, 29 Aug 2017 17:17:13 +0000",twitter,com,0,0,multipart/alternative,26,121,0,0,45,61905,1
171,"Thu, 14 Sep 2017 15:46:35 -0700 (PDT)",quora,com,0,0,multipart/alternative,16,73,0,1,119,51464,3
172,"Sat, 11 Aug 2018 06:43:13 +0000",amazon,in,0,0,multipart/alternative,25,146,0,0,44,67366,3
173,"Mon, 17 Jul 2017 16:49:20 +0000",dropboxmail,com,1,0,multipart/alternative,4,19,0,0,54,9552,0
174,"Fri, 11 Mar 2016 22:25:00 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,46,2809,2
175,"Sat, 25 May 2019 01:27:06 -0700",google,com,0,0,text/html,4,20,0,0,46,6683,0
176,"Sun, 15 Oct 2017 10:42:28 -0400 (EDT)",edx,org,0,0,multipart/alternative,12,42,0,0,68,43941,3
177,"Fri, 14 Dec 2018 14:56:06 +0530",iiitd,ac.in,3,0,multipart/alternative,3,3,1,0,37,7558,2
178,"Wed, 15 Aug 2018 18:13:53 +0000",github,com,0,0,multipart/alternative,5,26,1,1,118,23430,0
179,"Mon, 10 Jul 2017 10:00:25 +0000",kotak,in,0,0,text/html,0,17,1,1,62,8971,0
180,"Wed, 20 Jul 2016 14:16:18 +0530",iiitd,ac.in,6,0,multipart/alternative,1,4,1,0,0,6137,2
181,"Mon, 25 Nov 2019 16:05:17 -0600",send,grammarly.com,0,0,multipart/alternative,32,128,0,0,37,105741,3
182,"Mon, 15 Jul 2019 17:08:15 +0000",interviewbit,com,0,0,multipart/alternative,0,11,0,0,100,3122,0
183,"Sun, 25 Mar 2018 07:46:11 +0530",newsletter,speakingtree.in,0,0,multipart/alternative,12,64,0,0,16,26461,3
184,"Sun, 12 Aug 2018 10:53:36 +0000",slack,com,0,0,multipart/alternative,4,32,0,0,116,16610,0
185,"Mon, 4 Jan 2016 14:42:41 +0000",coursera,org,0,0,multipart/alternative,14,88,0,0,27,56366,0
186,"Tue, 07 Mar 2017 21:55:39 +0000",youtube,com,0,0,multipart/alternative,28,111,1,0,97,88664,1
187,"Mon, 19 Mar 2018 14:29:55 +0000",academia-mail,com,0,0,multipart/alternative,2,14,1,0,79,40085,0
188,"Fri, 17 Jun 2016 12:32:20 +0530",iiitd,ac.in,0,0,multipart/alternative,2,8,1,0,38,3207,2
189,"Mon, 02 Oct 2017 10:24:50 +0000",twitter,com,0,0,multipart/alternative,21,63,0,0,45,31382,3
190,"Sun, 16 Jun 2019 02:34:30 +0000",amazon,in,0,0,multipart/alternative,8,97,0,0,44,39780,3
191,"Wed, 24 May 2017 16:44:58 +0530",iiitd,ac.in,6,0,multipart/alternative,0,1,1,0,16,1472,2
192,"Tue, 14 Jul 2015 09:40:07 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,35,26977,0
193,"Fri, 22 Jul 2016 09:04:43 +0000",twitter,com,0,0,multipart/alternative,34,184,0,0,73,82043,1
194,"Tue, 01 Sep 2015 06:37:29 +0000",usebackpack,com,0,0,multipart/alternative,4,19,1,0,38,27714,0
195,"Tue, 16 Jan 2018 16:53:16 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,5,25,0,0,37,39906,0
196,"Sat, 27 May 2017 17:07:30 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,29,22718,1
197,"Wed, 13 Apr 2016 17:33:48 +0530",iiitd,ac.in,6,0,multipart/alternative,0,6,1,0,29,30479,2
198,"Tue, 16 Jun 2015 12:07:22 +0000 (UTC)",quora,com,0,0,multipart/alternative,1,11,1,0,42,10228,1
199,"Mon, 29 Jan 2018 06:42:06 +0000",zoomgroup,com,0,0,multipart/alternative,2,25,1,0,106,49337,0
200,"Sat, 23 Apr 2016 22:11:05 +0530",iiitd,ac.in,0,0,multipart/alternative,2,6,1,0,32,6356,2
201,"Wed, 17 Aug 2016 16:01:41 +0530",iiitd,ac.in,1,0,multipart/mixed,0,0,0,0,61,127215,2
202,"Tue, 14 Feb 2017 07:31:12 +0000",m,mail.coursera.org,0,0,multipart/alternative,33,152,0,0,27,100279,0
203,"Wed, 26 Oct 2016 01:10:33 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,69,1,0,56,48852,1
204,"Wed, 20 Dec 2017 17:27:06 -0800",email,nvidia.com,0,0,text/html,11,44,1,0,48,49717,3
205,"Sat, 31 Mar 2018 18:05:37 +0000",topcoder,com,0,0,multipart/alternative,24,122,0,0,42,102794,3
206,"Wed, 23 Mar 2016 11:43:17 +0530",iiitd,ac.in,0,0,multipart/related,0,0,0,0,56,168635,2
207,28 Jan 2018 13:16:40 +0530,,,0,0,text/plain,0,0,0,0,57,516,0
208,"Tue, 1 Aug 2017 06:30:36 +0000",paytmemail,com,0,0,Multipart/Mixed,0,0,0,0,72,4,3
209,"Fri, 07 Apr 2017 04:34:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
210,"Thu, 27 Aug 2015 06:34:18 -0600",news,foodpanda.in,0,0,multipart/alternative,0,9,0,0,70,1998,0
211,"Wed, 23 Nov 2016 00:15:25 +0000",usebackpack,com,0,0,text/html,4,14,0,0,36,24732,0
212,"Thu, 12 Oct 2017 06:15:47 -0500 (CDT)",fedex,com,0,0,multipart/mixed,2,28,0,0,36,20558,0
213,"Fri, 1 Sep 2017 12:24:30 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,1,0,5,783,2
214,"Tue, 12 Nov 2019 21:23:49 +0530",sbi,co.in,0,0,text/plain,0,0,0,0,57,687,0
215,"Fri, 29 Jun 2018 07:00:24 +0000",amazon,in,0,0,multipart/alternative,23,134,0,0,48,61677,3
216,"Sat, 13 Aug 2016 14:27:09 +0530",iiitd,ac.in,2,0,multipart/alternative,0,6,1,0,64,25630,2
217,"Mon, 24 Sep 2018 17:03:50 -0500 (CDT)",springboard,com,0,0,multipart/alternative,0,11,0,1,19,17646,3
218,"Sat, 25 Nov 2017 14:05:18 +0530",emailer,cardekho.com,0,0,text/html,28,95,1,0,29,63364,3
219,"Mon, 15 Jul 2019 00:14:09 +0530",sbi,co.in,0,0,text/plain,0,0,0,0,57,678,0
220,"Wed, 25 Apr 2018 09:05:56 -0600",send,grammarly.com,0,0,multipart/alternative,7,36,0,0,41,21458,3
221,"Thu, 29 Nov 2018 17:46:24 -0500",,,0,0,multipart/alternative,20,95,0,1,53,27807,0
222,"Tue, 02 Apr 2019 01:21:45 -0700",google,com,0,0,text/html,10,44,0,0,38,13593,0
223,"Sat, 3 Aug 2019 22:09:12 +0530",sbi,co.in,0,0,text/plain,0,0,0,0,57,690,0
224,"Tue, 11 Jun 2019 14:13:25 +0000",google,com,0,0,multipart/alternative,3,9,1,0,58,6469,0
